OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng,Shape_Le_1,Shape_Area
53,53,0.001509,0.434862,11,16.21,53,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",44273.45784,0.428095027,0.001512828
54,54,0.001157,0.423781,16,12.43,54,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",43919.32326,0.420055283,0.001159043
55,55,0.000995,0.190196,17,10.683,55,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",19845.91467,0.189231148,0.000986741
56,56,0.002896,0.402944,11,31.105,56,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",40631.80789,0.397968587,0.002891631
57,57,0.001339,0.302222,16,14.381,57,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",30816.48301,0.297191206,0.001338179
58,58,0.003547,1.035754,11,38.122,58,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",104824.3427,1.015834479,0.003542679
59,59,0.013297,2.5493,11,142.922,59,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",256660.6674,2.503391299,0.013297718
60,60,0.002255,0.639078,16,24.234,60,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",64736.60404,0.626101705,0.00226157
61,61,0.000953,0.137727,Rara Lake,10.237,61,2899,3173,9.3,83,0,WR,WR,WR,WR,WR,13832.39049,0.136949174,0.00095495
62,62,0.006497,0.776229,16,69.85,62,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",78507.16942,0.764781411,0.006489717
63,63,0.001304,0.474353,13,14.021,63,1073,3628,35.3,322,13,TV,UF1,CMo,UF1,"Fluvial, calcareous",48154.13497,0.469069088,0.001303992
64,64,0.001009,0.294634,16,10.846,64,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",28841.10923,0.274781451,0.001136074
65,65,0.001285,0.603822,11,13.817,65,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",60981.12897,0.593573106,0.001291493
66,66,0.006307,0.746956,16,67.852,66,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",76381.53814,0.736206241,0.006314563
67,67,0.012196,1.65549,16,131.281,67,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",168568.9104,1.64061565,0.012192221
68,68,0.003733,0.845399,11,40.146,68,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",85239.86137,0.83290957,0.003734305
69,69,0.003016,0.448454,16,32.438,69,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",46683.41424,0.442867126,0.003012375
70,70,0.001845,0.510669,11,19.847,70,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",52640.53456,0.501116442,0.001843611
71,71,0.001168,0.397841,16,12.566,71,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",41153.03447,0.392881599,0.001164392
72,72,0.033529,2.139808,15,360.926,72,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",219653.1999,2.113027744,0.033546686
73,73,0.002028,0.506788,16,21.813,73,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",43059.51466,0.424754107,0.002545265
74,74,0.005027,0.521233,15,54.088,74,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",52941.14415,0.512620833,0.005033818
75,75,0.000981,0.481511,13,10.563,75,1073,3628,35.3,322,13,TV,UF1,CMo,UF1,"Fluvial, calcareous",50097.03703,0.475237379,0.000987362
76,76,0.001692,0.373414,11,18.21,76,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",38188.55287,0.365185805,0.001691382
77,77,0.000979,0.155853,16,10.537,77,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",16009.3318,0.153750543,0.000979392
78,78,0.002586,0.38535,16,27.831,78,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",39769.95919,0.379918608,0.002586292
79,79,0.000991,0.319543,glacier,10.663,79,3735,7194,33.2,387,0,GG,GG,GG,GG,GG,32308.13939,0.316775335,0.000997672
80,80,0.012949,2.20322,11,139.421,80,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",223837.3695,2.165504446,0.01296141
81,81,0.001611,0.740835,9,17.344,81,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,75066.86817,0.730041824,0.001594937
82,82,0.001318,0.36134,11,14.182,82,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",36303.93184,0.353957765,0.001316382
83,83,0.005643,1.424468,11,60.749,83,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",146077.9796,1.401475795,0.005642202
84,84,0.005965,1.085344,12,64.231,84,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,95625.61742,0.918204736,0.006875499
85,85,0.028473,3.745528,11,306.741,85,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",378953.3431,3.679813793,0.028457815
86,86,0.001631,0.308254,16,17.57,86,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",31505.85632,0.3048366,0.001624498
87,87,0.002023,0.274795,16,21.786,87,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",28338.40069,0.27160205,0.002014551
