OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng,Shape_Le_1,Shape_Area
183,183,0.007822,4.000328,4,84.752,183,75,982,2.2,25,4,LV,UF1,CMg,UF1,"Fluvial, calcareous",411194.2222,3.943703879,0.007801055
184,184,0.039463,3.256498,3,427.463,184,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,338570.1047,3.189369061,0.039461075
185,185,0.001066,0.182067,16,11.531,185,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",18573.63068,0.179379405,0.001067414
186,186,0.1388,13.580733,15,1505.706,186,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",1390944.165,13.39424404,0.138738243
187,187,0.002912,1.446055,1,31.542,187,57,952,1.1,11,1,LV,UF1,FLc,UF1,"Fluvial, calcareous",150251.954,1.4194271,0.002893348
188,188,0.037275,2.724921,3,403.813,188,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,281487.4638,2.673737176,0.037261933
189,189,0.020007,3.013737,2,216.89,189,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,312223.8859,2.958565229,0.020013995
190,190,0.002485,0.230501,1,26.886,190,57,952,1.1,11,1,LV,UF1,FLc,UF1,"Fluvial, calcareous",23715.50181,0.229309527,0.002479576
191,191,0.001563,0.296,16,16.908,191,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",30337.03517,0.293693472,0.00155583
192,192,0.002329,0.323645,5,25.197,192,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",32667.4895,0.318427593,0.002337685
193,193,0.001152,0.294106,11,12.467,193,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",29982.59808,0.287330028,0.001153122
194,194,0.000971,0.366416,16,10.506,194,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",37558.02374,0.361142804,0.000974512
